loggingTime(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),label
27:12.6,50580.73238,-0.506057739,-0.248077393,-0.804092407,50580.72738,0.27116697,-0.514714371,0.352601388,-0.144528359,0.061454419,-0.242375523,0.01462701,0.053470224,0.029635489,XArbitraryZVertical,0.201926548,-0.225354402,0.084459348,0.949372168,-0.461999565,-0.345340312,-0.816882133,5
27:12.6,50580.7824,-0.418258667,-0.390029907,-0.853790283,50580.7774,0.27558092,-0.503422933,0.370425111,0.403715879,0.344180584,-0.038035315,0.012220472,-0.021288991,-0.026218116,XArbitraryZVertical,0.2102866,-0.217984375,0.085319959,0.949201178,-0.449705333,-0.362011731,-0.816524744,5
27:12.6,50580.83243,-0.417907715,-0.375549316,-0.800170898,50580.82742,0.277453602,-0.495407001,0.38059698,0.048459474,0.03180198,-0.111007906,0.026104242,-0.016708761,-0.00617671,XArbitraryZVertical,0.21490875,-0.21308125,0.085711098,0.949243932,-0.441372305,-0.371474802,-0.816821218,5
27:12.6,50580.88245,-0.442443848,-0.352340698,-0.799438477,50580.87744,0.274865557,-0.49313363,0.385796337,0.219100356,0.097268112,-0.08002077,-0.002781898,0.02305612,0.025140405,XArbitraryZVertical,0.216971681,-0.211821147,0.084043795,0.949205823,-0.438593984,-0.376297057,-0.816110194,5
27:12.7,50580.93247,-0.432067871,-0.39541626,-0.80670166,50580.92747,0.281789531,-0.489022769,0.397239374,0.196699023,0.097060211,0.131169051,0.004930824,-0.011944771,-0.00854975,XArbitraryZVertical,0.222877267,-0.208086451,0.086279918,0.948462638,-0.433184117,-0.386874169,-0.814051509,5
27:12.7,50580.98249,-0.428573608,-0.441390991,-0.836257935,50580.97749,0.277622266,-0.499259667,0.390070606,-0.19028534,-0.145610735,0.000742556,0.007294655,-0.06377703,0.022025824,XArbitraryZVertical,0.219522304,-0.214046017,0.084117857,0.948113005,-0.442811102,-0.380253732,-0.811988533,5
27:12.8,50581.03251,-0.483901978,-0.354446411,-0.832229614,50581.02751,0.27469681,-0.506606554,0.386657839,-0.006560086,-0.048156824,-0.050736193,-0.027247131,0.018025309,-0.01991421,XArbitraryZVertical,0.217917055,-0.218152375,0.082384412,0.947699601,-0.449391782,-0.377095103,-0.809843421,5
27:12.8,50581.08253,-0.438720703,-0.388183594,-0.799133301,50581.07753,0.272989189,-0.504586125,0.389546864,-0.012301503,0.016984116,-0.05532353,0.005819708,-0.023413718,-0.007651091,XArbitraryZVertical,0.218998495,-0.217125144,0.081407908,0.947770607,-0.447226077,-0.379769266,-0.809792638,5
27:12.9,50581.13256,-0.454040527,-0.363983154,-0.792297363,50581.12755,0.271082859,-0.503970079,0.388265903,0.010718716,0.030766793,-0.018159155,-0.009383053,0.012647688,0.01122278,XArbitraryZVertical,0.218167822,-0.217154626,0.080743315,0.948012239,-0.446961671,-0.378583968,-0.81049335,5
27:12.9,50581.18258,-0.441741943,-0.393844604,-0.815093994,50581.17758,0.269388856,-0.500993764,0.389495099,-0.028975008,0.053846736,-0.043945059,-0.000241369,-0.004479647,0.001215398,XArbitraryZVertical,0.218439562,-0.215820585,0.08010105,0.948308736,-0.44432357,-0.379721373,-0.811411262,5
