loggingTime(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),label
07:25.0,53002.78803,-0.097915649,-0.097503662,-0.982696533,53002.77302,1.444435431,-0.140041174,0.09714115,-0.035647586,0.258031577,-0.008762424,-0.134603232,0.065570705,-0.006050467,XArbitraryZVertical,0.082535695,-0.020418201,0.656104015,0.7498657,-0.138925821,-0.096988447,-0.98554194,3
07:25.0,53002.83805,-0.177566528,-0.139968872,-0.99621582,53002.82304,1.440108557,-0.133897469,0.100265475,-0.15372321,0.035881512,-0.164491907,-0.016617328,-0.047119133,0.017459035,XArbitraryZVertical,0.081647414,-0.017258337,0.65460134,0.751354008,-0.132827252,-0.100097559,-0.986071706,3
07:25.1,53002.88806,-0.151992798,-0.133926392,-1.037307739,53002.87306,1.431979822,-0.129396509,0.088350962,-0.220303819,0.189877734,-0.180308685,-0.005866975,-0.014379181,-0.037587941,XArbitraryZVertical,0.075642002,-0.019804421,0.652198277,0.754004914,-0.128532425,-0.088236064,-0.987772167,3
07:25.1,53002.93808,-0.202011108,-0.085968018,-1.002807617,53002.92308,1.415779418,-0.11645661,0.078875452,-0.414214283,0.361497402,-0.303065717,-0.066159286,-0.056902617,-0.018330038,XArbitraryZVertical,0.067714806,-0.018585179,0.646881995,0.759350384,-0.115832299,-0.07879369,-0.99013859,3
07:25.2,53002.9881,-0.127120972,-0.150390625,-1.003448486,53002.9731,1.39089153,-0.091053403,0.066889563,-0.206263945,0.672761559,-0.549989522,-0.104542434,-0.065286055,-0.017523706,XArbitraryZVertical,0.054790289,-0.013519533,0.638537506,0.767518779,-0.090724297,-0.066839695,-0.993630469,3
07:25.2,53003.03812,-0.140686035,-0.082580566,-1.039489746,53003.02311,1.362492409,-0.05834527,0.05645369,-0.477504492,0.610803664,-0.683908165,-0.018883396,-0.046862934,-0.032054782,XArbitraryZVertical,0.040275928,-0.00488247,0.628603357,0.77666717,-0.058219276,-0.056423709,-0.996708035,3
07:25.3,53003.08814,-0.187225342,-0.03137207,-1.00718689,53003.07313,1.323037616,-0.025473369,0.036649522,-0.516079545,1.046921492,-0.803431571,-0.180479124,-0.021708187,-0.020832181,XArbitraryZVertical,0.022280179,0.0012076,0.613978881,0.789007035,-0.02545351,-0.036641318,-0.999004245,3
07:25.3,53003.13816,0.179702759,0.078689575,-1.050384521,53003.12315,1.279570429,0.043538522,0.014711949,-0.363946408,1.652758121,-0.885464787,-0.07112322,0.027162695,-0.028964102,XArbitraryZVertical,-0.007095685,0.021852578,0.596993983,0.801916712,0.043520056,-0.014711418,-0.998944223,3
07:25.4,53003.18817,0.102172852,0.053771973,-0.977111816,53003.17317,1.235658279,0.111322182,0.001053888,-0.032900829,0.860351264,-0.870655894,0.121299013,0.02993888,-0.045146167,XArbitraryZVertical,-0.031797117,0.045652802,0.578393699,0.813858359,0.111092336,-0.001053888,-0.993809521,3
07:25.4,53003.23819,0.022766113,0.015167236,-1.024673462,53003.22319,1.201232954,0.157761583,-0.015519183,-0.389425755,1.260018468,-0.645621896,-0.153457493,0.018935896,-0.01000452,XArbitraryZVertical,-0.05091361,0.060634573,0.562872449,0.822742885,0.157089069,0.01551856,-0.987462521,3
07:25.5,53003.28821,0.090301514,0.097122192,-0.990142822,53003.27321,1.178535811,0.233107723,-0.042218658,-0.709637702,1.837592244,-0.33729881,-0.199973732,-0.029007152,0.00385505,XArbitraryZVertical,-0.082042972,0.085004912,0.54981829,0.826887572,0.230796456,0.042206116,-0.972086251,3
07:25.5,53003.33823,0.470275879,0.213729858,-0.820785522,53003.32322,1.213161078,0.346436552,-0.153224987,-4.123772144,2.18090868,0.004797023,-0.103758574,-0.0075607,-0.011272967,XArbitraryZVertical,-0.159906172,0.098212326,0.549045191,0.814453037,0.335570097,0.152626127,-0.929568708,3
