loggingTime(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),label
39:58.4,49247.95307,0.196289063,-0.094436646,-0.975082397,49247.94306,0.134011444,0.201935644,0.1014737,-0.001611679,-0.025367007,0.003354865,0.006627113,-0.001803964,0.001877606,XArbitraryZVertical,0.043603375,0.103819115,0.071629298,0.991054761,0.199534297,-0.101299644,-0.974640667,15
39:58.4,49248.0031,0.191925049,-0.106842041,-0.982467651,49247.99309,0.134577862,0.201007797,0.101434717,-0.010469206,-0.008007286,0.019983567,-0.008414716,-0.004055277,-0.00592941,XArbitraryZVertical,0.043587996,0.103370479,0.071887864,0.991083622,0.198630676,-0.101260863,-0.974829257,15
39:58.5,49248.05313,0.194366455,-0.115097046,-0.981292725,49248.04312,0.135641277,0.201318386,0.100912144,-0.014416956,0.026872229,0.016905028,-0.00743103,-0.014935896,-0.006275117,XArbitraryZVertical,0.043262652,0.103531261,0.072396299,0.9910442,0.198944002,-0.100740962,-0.974819243,15
39:58.5,49248.10316,0.19694519,-0.122787476,-0.986968994,49248.09315,0.135658309,0.20296633,0.101330028,0.002729247,0.060371786,-0.020343121,-0.001490861,-0.004937619,-0.017815053,XArbitraryZVertical,0.043409294,0.104361192,0.072460742,0.990946005,0.200541675,-0.101156712,-0.97444874,15
39:58.6,49248.15319,0.199264526,-0.097717285,-0.973434448,49248.14318,0.134412334,0.20543605,0.100824485,-0.00925089,0.046164453,-0.048032731,-0.000504568,-0.00109183,0.006196439,XArbitraryZVertical,0.043134915,0.105542235,0.071872045,0.990875682,0.202958077,-0.100653745,-0.974000454,15
39:58.6,49248.20322,0.230758667,-0.149047852,-0.937454224,49248.19321,0.132901251,0.208469277,0.100266788,-0.053112738,0.0596807,-0.050328188,0.011255175,-0.023680404,-0.001296341,XArbitraryZVertical,0.042830255,0.106995401,0.071160839,0.990784482,0.205923095,-0.100098871,-0.973435104,15
39:58.7,49248.25325,0.191650391,-0.01663208,-0.978515625,49248.24324,0.127671245,0.20665792,0.094100754,-0.031479925,-0.079344243,-0.251516521,0.019991308,0.019788988,0.038662076,XArbitraryZVertical,0.040114289,0.105805524,0.068223156,0.991232398,0.204282284,-0.093961939,-0.974392056,15
39:58.7,49248.30328,0.233215332,-0.165023804,-0.901351929,49248.29327,0.112517745,0.208927962,0.099384476,0.115611181,0.051510025,-0.234100223,0.010408968,-0.011191621,-0.000190973,XArbitraryZVertical,0.043466837,0.106758368,0.061024919,0.991458248,0.206387803,-0.099220946,-0.97342658,15
39:58.8,49248.35331,0.352996826,-0.186508179,-0.710021973,49248.3433,0.106530349,0.211272572,0.082424602,-0.477882206,0.021850877,-0.195373222,0.072577938,-0.064565033,0.136432648,XArbitraryZVertical,0.035304009,0.107382281,0.057236291,0.991940856,0.208992407,-0.082331307,-0.974445343,15
39:58.8,49248.40334,0.450469971,0.05430603,-0.686004639,49248.39333,0.102783412,0.204207248,0.051300999,-0.512294173,-0.628754735,-0.282895267,0.272771776,-0.065069743,0.373899341,XArbitraryZVertical,0.020246288,0.103068892,0.053695468,0.993017452,0.202524155,-0.051278498,-0.977933764,15
