loggingTime(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),label
31:22.1,20984.21255,-0.063568115,-0.223571777,-1.063842773,20984.20754,0.395374793,-0.076436863,0.140617614,0.198004216,0.151748523,0.180730104,0.03520336,-0.062451497,-0.091161072,XArbitraryZVertical,0.076318166,-0.02358502,0.193142045,0.977913813,-0.07560873,-0.14015466,-0.987238586,0
31:22.1,20984.23256,-0.104385376,-0.228378296,-1.030181885,20984.22755,0.399848472,-0.074806035,0.144815867,0.177227333,0.193448901,0.208654001,-0.023519255,-0.080344871,-0.055883229,XArbitraryZVertical,0.078260961,-0.022196183,0.19528476,0.977367121,-0.073953986,-0.144310221,-0.986765087,0
31:22.1,20984.25257,-0.054443359,-0.244232178,-1.02230835,20984.24756,0.406079521,-0.071254577,0.149564463,0.159211934,0.28720668,0.409133256,-0.01152505,-0.087869927,-0.04185611,XArbitraryZVertical,0.080293936,-0.019734504,0.198349808,0.976637523,-0.070399486,-0.149007469,-0.986326873,0
31:22.1,20984.27257,-0.00163269,-0.250808716,-1.093414307,20984.26757,0.41629403,-0.06717099,0.150223284,-0.013071108,0.237966865,0.536849618,0.036609828,-0.110945895,-0.060153425,XArbitraryZVertical,0.080299386,-0.017263478,0.203482972,0.975627348,-0.066364557,-0.149658904,-0.986507952,0
31:22.1,20984.29258,-0.008895874,-0.218475342,-1.13885498,20984.28758,0.426343449,-0.066070914,0.146848866,-0.287896812,0.049360465,0.483240753,0.072865263,-0.067270845,-0.129910469,XArbitraryZVertical,0.078627788,-0.016683525,0.208507605,0.974712208,-0.065312251,-0.146321639,-0.987078667,0
31:22.2,20984.31259,-0.034988403,-0.085372925,-1.199859619,20984.30759,0.43403798,-0.067236929,0.139220333,-0.440759242,-0.089401655,0.29406333,0.042595088,-0.039634675,-0.192943454,XArbitraryZVertical,0.075103926,-0.017776359,0.212393652,0.974131539,-0.066536218,-0.138771027,-0.98808682,0
31:22.2,20984.3326,-0.094085693,0.06262207,-1.162857056,20984.3276,0.438111091,-0.070177111,0.128089691,-0.586564422,-0.024762629,0.16100198,0.004679888,0.115303859,-0.211179733,XArbitraryZVertical,0.070041015,-0.020273444,0.214537236,0.973990277,-0.069545083,-0.127739713,-0.989366472,0
31:22.2,20984.35261,-0.094451904,0.095687866,-1.085464478,20984.34761,0.440657263,-0.071546485,0.115560288,-0.5794698,-0.03361937,0.2198416,-0.036382772,0.208763391,-0.157251716,XArbitraryZVertical,0.064119462,-0.022229992,0.216030529,0.974025418,-0.071008675,-0.115303256,-0.990789056,0
31:22.2,20984.37262,-0.037521362,0.043182373,-0.982254028,20984.36762,0.450377592,-0.072350137,0.106393511,-0.259056956,0.088742688,0.79773283,-0.022665262,0.147681594,-0.048889935,XArbitraryZVertical,0.059859634,-0.023339203,0.220954116,0.973165726,-0.071878292,-0.106192902,-0.99174422,0
31:22.2,20984.39263,0.109680176,0.025909424,-0.93081665,20984.38763,0.465762336,-0.072180992,0.101434033,-0.140412137,-0.004243277,0.663571715,0.120529898,0.149844229,0.035940111,XArbitraryZVertical,0.057611183,-0.023371553,0.228555201,0.971543694,-0.071747638,-0.101260185,-0.992269456,0
31:22.3,20984.41264,0.130599976,-0.025436401,-0.870269775,20984.40764,0.475566629,-0.076250086,0.09927649,-0.02272179,-0.288966119,0.326946855,0.21586147,0.096702665,0.088757694,XArbitraryZVertical,0.057153774,-0.025318757,0.233249788,0.970405596,-0.075801142,-0.099113494,-0.992184818,0
31:22.3,20984.43265,0.047286987,-0.066802979,-0.865020752,20984.42764,0.478867078,-0.084264342,0.098359793,-0.062119797,-0.451590896,0.034431752,0.173708335,0.053294718,0.140546143,XArbitraryZVertical,0.057691988,-0.02922058,0.234643886,0.969927852,-0.083757855,-0.098201267,-0.991635561,0
31:22.3,20984.45266,-0.03666687,-0.027252197,-0.944488525,20984.44765,0.478180658,-0.094561987,0.096895351,-0.101384521,-0.577373266,-0.063660115,0.100692004,0.031161584,0.0698421,XArbitraryZVertical,0.058178256,-0.034409014,0.234052904,0.969871479,-0.093978226,-0.0967438,-0.990862608,0
31:22.3,20984.47267,-0.170562744,0.02507019,-1.043487549,20984.46766,0.476582523,-0.106304803,0.092423669,-0.374963015,-0.578357041,-0.103482515,0.021179095,0.103888877,0.013609588,XArbitraryZVertical,0.057353565,-0.040682351,0.233072627,0.969913795,-0.105651841,-0.092292145,-0.990111053,0
31:22.3,20984.49267,-0.187850952,-0.001907349,-1.074172974,20984.48767,0.472144794,-0.114274154,0.084107989,-0.4484424,-0.262847126,-0.212821066,-0.10308288,0.08381056,-0.070352077,XArbitraryZVertical,0.054153297,-0.045656129,0.230963393,0.97038087,-0.113622524,-0.084008858,-0.989965856,0
31:22.4,20984.51268,-0.140869141,-0.073348999,-1.026000977,20984.50768,0.46622625,-0.118319463,0.07531328,-0.489790291,-0.164424807,-0.23356846,-0.043652818,0.049103856,-0.077372372,XArbitraryZVertical,0.05021405,-0.048803525,0.228274211,0.971075574,-0.117708966,-0.075242102,-0.990193546,0
31:22.4,20984.53269,-0.083862305,-0.135131836,-0.919067383,20984.52769,0.460909987,-0.119835942,0.067100021,-0.36257878,-0.016233932,-0.18475847,0.006044738,-0.040189028,0.014290988,XArbitraryZVertical,0.046268908,-0.050617863,0.225926715,0.971727444,-0.119280301,-0.067049682,-0.990594029,0
31:22.4,20984.5527,-0.028945923,-0.117294312,-0.889297485,20984.5477,0.457939901,-0.118971923,0.062041476,-0.199168712,0.064389847,-0.041252244,0.065621823,-0.076166593,0.091149032,XArbitraryZVertical,0.043640188,-0.050844069,0.22466822,0.972128892,-0.118463107,-0.062001683,-0.991020858,0
31:22.4,20984.57271,-0.014205933,-0.052886963,-0.906341553,20984.56771,0.457497785,-0.118136747,0.05762045,-0.15535219,0.050036948,0.005937487,0.100347728,-0.027143426,0.09588939,XArbitraryZVertical,0.041387881,-0.050951695,0.22461351,0.972234465,-0.117666543,-0.05758857,-0.991381943,0
31:22.4,20984.59272,-0.043777466,-0.022033691,-0.912124634,20984.58772,0.45646206,-0.118383208,0.054571666,-0.026679927,-0.044783704,-0.097176112,0.093516916,0.025018886,0.081381679,XArbitraryZVertical,0.039908004,-0.051439571,0.224202367,0.972365488,-0.117931068,-0.054544583,-0.99152267,0
31:22.5,20984.61273,-0.086013794,-0.077819824,-0.895721436,20984.60773,0.45404187,-0.119716684,0.056609896,0.121738657,-0.071662493,-0.136216387,0.051383674,0.013931405,0.087062001,XArbitraryZVertical,0.040984841,-0.051905778,0.222933188,0.972587719,-0.119239606,-0.056579664,-0.991252065,0
31:22.5,20984.63274,-0.090408325,-0.153747559,-0.855545044,20984.62774,0.452062399,-0.120103701,0.061282962,0.075112388,-0.008942444,-0.094202772,0.02490937,-0.056263268,0.113903165,XArbitraryZVertical,0.043247481,-0.051608062,0.221810543,0.97276225,-0.119590245,-0.061244611,-0.990932524,0
31:22.5,20984.65275,-0.068008423,-0.187637329,-0.813751221,20984.64774,0.450077973,-0.119068009,0.061969743,-0.130589172,0.040837154,-0.10274604,0.038801067,-0.113652743,0.157288909,XArbitraryZVertical,0.043415721,-0.051070017,0.220845313,0.973002791,-0.118558854,-0.061930086,-0.991013885,0
31:22.5,20984.67276,-0.049942017,-0.201477051,-0.7940979,20984.66775,0.447258645,-0.117879574,0.057593403,-0.320741296,0.053039167,-0.128734916,0.058939993,-0.136301279,0.19482863,XArbitraryZVertical,0.041085097,-0.051040769,0.219639325,0.97337836,-0.117411763,-0.057561569,-0.991413713,0
31:22.5,20984.69277,-0.048522949,-0.113555908,-0.865921021,20984.68776,0.443364751,-0.117038277,0.051746232,-0.272986054,0.002190082,-0.212568,0.070579097,-0.126713082,0.15557152,XArbitraryZVertical,0.03804898,-0.051357059,0.217945295,0.973865803,-0.11661496,-0.051723141,-0.991829455,0
31:22.6,20984.71277,-0.061050415,-0.048660278,-0.891998291,20984.70777,0.436220784,-0.117071218,0.048016132,-0.163690656,-0.01261734,-0.472183883,0.058975779,-0.004614562,0.107610941,XArbitraryZVertical,0.036052232,-0.051914103,0.214581191,0.974658981,-0.116669357,-0.047997683,-0.992010295,0
