loggingTime(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),label
23:36.8,49548.12485,-0.009002686,0.121047974,-0.994033813,49548.11484,0.020750115,-0.000295279,-0.091217368,-0.264056504,-0.044801004,-0.04550992,-0.003429198,0.007328279,-0.009833694,XArbitraryZVertical,-0.045588889,-0.000620498,0.010370814,0.998906263,-0.000294052,0.091090925,-0.995842516,7
23:36.8,49548.17487,-0.004089355,0.096282959,-0.995620728,49548.16487,0.016127641,-0.00332259,-0.097883115,-0.132025138,-0.046263993,-0.154787719,0.017970271,-0.040781066,-0.006424904,XArbitraryZVertical,-0.04890698,-0.002053745,0.008135337,0.998768162,-0.00330668,0.097726889,-0.995207787,7
23:36.8,49548.2249,-0.026351929,0.136138916,-0.989105225,49548.21489,0.011568389,-0.005602322,-0.1042689,-0.093128905,-0.028325152,-0.00102436,-0.011777482,0.0223848,0.003037214,XArbitraryZVertical,-0.052093577,-0.003098721,0.005922248,0.998619898,-0.005571867,0.104080066,-0.994553328,7
23:36.9,49548.27493,0.007553101,0.078918457,-0.999145508,49548.26492,0.012760573,-0.003273072,-0.102606854,0.040201254,0.048750214,0.02481865,-0.009470084,0.019261956,-0.001373768,XArbitraryZVertical,-0.051269383,-0.001961533,0.006455761,0.998662101,-0.003255852,0.102426909,-0.994735181,7
23:36.9,49548.32495,-0.011352539,0.128097534,-0.99307251,49548.31495,0.012157064,-0.004575963,-0.107431831,-0.111390755,-0.049579039,-0.024318231,0.009386496,-0.012605526,0.004035771,XArbitraryZVertical,-0.053675063,-0.002610991,0.006192551,0.998535912,-0.004549565,0.107225291,-0.99422437,7
23:37.0,49548.37498,6.10E-05,0.073135376,-0.984954834,49548.36497,0.01170864,-0.006591212,-0.109584087,-0.036563698,-0.038306888,0.003080522,0.004522104,0.007822625,-0.013908684,XArbitraryZVertical,-0.054744129,-0.003611204,0.006025948,0.998475754,-0.006551629,0.10936489,-0.99398005,7
23:37.0,49548.42501,-0.01423645,0.158035278,-0.989562988,49548.415,0.008108226,-0.008113174,-0.116466735,-0.239801824,-0.022291778,-0.107559822,0.008729403,-0.016777322,0.003126204,XArbitraryZVertical,-0.058183087,-0.004285615,0.004283289,0.998287523,-0.008058122,0.116203614,-0.993192732,7
23:37.1,49548.47503,0.001037598,0.075454712,-0.994400024,49548.46503,0.001863035,-0.009673249,-0.124393682,-0.227861181,-0.067351185,-0.081163779,0.006485456,0.00693886,-0.008582056,XArbitraryZVertical,-0.062151497,-0.004885151,0.001230333,0.998054013,-0.009598355,0.124073125,-0.99222666,7
23:37.1,49548.52506,-0.074966431,0.128585815,-0.986083984,49548.51505,-0.009430491,-0.015127461,-0.133340368,-0.260475159,-0.1325721,-0.037785497,0.004311349,-0.002528712,0.019147158,XArbitraryZVertical,-0.066653742,-0.007232647,-0.004200726,0.997741122,-0.014992608,0.132945597,-0.991009951,7
23:37.2,49548.57508,-0.008926392,0.154937744,-0.998016357,49548.56508,-0.012402564,-0.015559423,-0.141567545,-0.183362648,-0.001229485,-0.073632248,0.000952966,0.000445396,0.00424999,XArbitraryZVertical,-0.070769299,-0.007321435,-0.005635325,0.99744996,-0.015403145,0.141095147,-0.989876211,7
23:37.2,49548.62511,-0.008560181,0.133895874,-0.986419678,49548.61511,-0.017452723,-0.016968085,-0.14764802,-0.167835191,0.002137931,-0.128656581,0.001066005,0.002744436,0.00892067,XArbitraryZVertical,-0.073825338,-0.007816912,-0.008076443,0.997207884,-0.016782664,0.147112146,-0.988977432,7
23:37.3,49548.67514,-0.024032593,0.203277588,-1.01234436,49548.66513,-0.025970091,-0.019420078,-0.157574053,-0.216122448,-0.016862031,-0.15469636,-0.001985773,0.004667819,-0.033754528,XArbitraryZVertical,-0.078820878,-0.008657031,-0.012179632,0.996776874,-0.019178275,0.156922773,-0.987424672,7
23:37.3,49548.72516,-0.015045166,0.148345947,-0.971832275,49548.71516,-0.031334781,-0.019450407,-0.164332308,-0.123035803,0.025967609,-0.11650987,-0.002098957,0.022761926,0.038511038,XArbitraryZVertical,-0.082211619,-0.008405283,-0.014815082,0.996469373,-0.019187158,0.163593665,-0.986341178,7
23:37.4,49548.77519,-0.025772095,0.180160522,-0.994430542,49548.76519,-0.032262922,-0.018849483,-0.17377052,-0.287378013,0.107157305,-0.011678603,-0.050466359,-0.048553422,-0.004614949,XArbitraryZVertical,-0.086912297,-0.007988129,-0.015251478,0.996067147,-0.018564507,0.172897309,-0.984764874,7
23:37.4,49548.82522,0.001953125,0.187728882,-1.012924194,49548.81521,-0.033015833,-0.014637537,-0.187458526,-0.14209038,0.044271268,-0.012569658,0.022879628,0.073799834,-0.012268364,XArbitraryZVertical,-0.093697103,-0.005740687,-0.01574939,0.995459665,-0.014380589,0.18636255,-0.982375801,7
